pr名,用户名,url,合并时间
Section 6 article updates,buttonwild,https://github.com/WTFAcademy/WTF-Ethers/pull/82,2023-04-21T11:46:55Z
Update readme.md,songlim327,https://github.com/WTFAcademy/WTF-Ethers/pull/80,2023-04-20T01:41:36Z
Section 10 article updates,buttonwild,https://github.com/WTFAcademy/WTF-Ethers/pull/79,2023-04-19T18:32:53Z
17-19讲校对,Azleal,https://github.com/WTFAcademy/WTF-Ethers/pull/77,2023-04-18T17:35:28Z
fix: await provider.getSigner(),wenyangliu,https://github.com/WTFAcademy/WTF-Ethers/pull/76,2023-04-18T08:56:33Z
Update 20-24 ether.js ,hattiepwvi,https://github.com/WTFAcademy/WTF-Ethers/pull/74,2023-04-18T17:36:19Z
update 20-24 ether.js,hattiepwvi,https://github.com/WTFAcademy/WTF-Ethers/pull/73,未合并
fix readme.md,Ifdevil,https://github.com/WTFAcademy/WTF-Ethers/pull/72,2023-04-15T17:23:35Z
"flashbot依赖ethers5,导致代码不能运行",Azleal,https://github.com/WTFAcademy/WTF-Ethers/pull/71,2023-04-14T08:36:17Z
ethers1-5讲校对,Azleal,https://github.com/WTFAcademy/WTF-Ethers/pull/70,2023-04-18T17:32:38Z
Fix img and Optimize some text descriptions.,skyMetaverse,https://github.com/WTFAcademy/WTF-Ethers/pull/69,2023-04-18T17:34:44Z
update,AmazingAng,https://github.com/WTFAcademy/WTF-Ethers/pull/67,2023-04-05T08:36:33Z
添加 ethers.js 版本说明,time0x,https://github.com/WTFAcademy/WTF-Ethers/pull/66,2023-04-01T06:11:10Z
docs: update readme.md,LaoBan-ywcm,https://github.com/WTFAcademy/WTF-Ethers/pull/61,2023-03-02T06:17:51Z
实现MetaMask签名授权登录,Hholz,https://github.com/WTFAcademy/WTF-Ethers/pull/59,2023-02-17T09:30:03Z
修改监听器里的函数调用,0xtangping,https://github.com/WTFAcademy/WTF-Ethers/pull/56,2023-01-03T06:14:11Z
18_Signature/Signature.js 修改注释,0xtangping,https://github.com/WTFAcademy/WTF-Ethers/pull/55,2022-12-27T15:54:42Z
Update readme.md,amesy,https://github.com/WTFAcademy/WTF-Ethers/pull/54,2022-12-25T15:31:57Z
Update readme.md,amesy,https://github.com/WTFAcademy/WTF-Ethers/pull/53,2022-12-24T09:09:15Z
Update readme.md,amesy,https://github.com/WTFAcademy/WTF-Ethers/pull/52,2022-12-23T14:37:19Z
fix 从助记词创建wallet对象,yeecai,https://github.com/WTFAcademy/WTF-Ethers/pull/51,未合并
fix readme.md,0x794E33,https://github.com/WTFAcademy/WTF-Ethers/pull/50,2022-12-11T10:18:46Z
fix vanity address difficulty multiple,WenYongqi,https://github.com/WTFAcademy/WTF-Ethers/pull/48,2022-12-05T23:16:55Z
fix Goerli WETH contract address,WenYongqi,https://github.com/WTFAcademy/WTF-Ethers/pull/47,2022-12-03T17:12:38Z
add formatEther to amount,w-zhong,https://github.com/WTFAcademy/WTF-Ethers/pull/45,2022-11-29T02:47:29Z
change 19_Mempool/readme.md,0xtangping,https://github.com/WTFAcademy/WTF-Ethers/pull/40,2022-11-04T10:05:31Z
Added 在线编辑器,EasyChris,https://github.com/WTFAcademy/WTF-Ethers/pull/39,2022-10-27T13:46:39Z
Update readme.md,0x3c,https://github.com/WTFAcademy/WTF-Ethers/pull/37,2022-10-18T11:04:06Z
Update readme.md,0x3c,https://github.com/WTFAcademy/WTF-Ethers/pull/36,2022-10-18T11:04:23Z
Issues#34 Lecture 13 Review,buttonwild,https://github.com/WTFAcademy/WTF-Ethers/pull/35,2022-10-17T03:50:39Z
Issues#32 Lecture 12 Review,buttonwild,https://github.com/WTFAcademy/WTF-Ethers/pull/33,2022-10-17T03:50:25Z
添加 Ethers极简入门: 5. 合约交互 中Readme.md中返回值的解释,cheng521521,https://github.com/WTFAcademy/WTF-Ethers/pull/31,2022-10-31T06:34:29Z
update goerli contract and some details,0xc25fee20,https://github.com/WTFAcademy/WTF-Ethers/pull/29,2022-10-09T12:08:24Z
fix all rpcurl and readme,0xc25fee20,https://github.com/WTFAcademy/WTF-Ethers/pull/28,2022-10-09T09:30:27Z
第17讲审核建议,beyond009,https://github.com/WTFAcademy/WTF-Ethers/pull/27,2022-10-09T08:41:12Z
审核了ethers 6 7 8 9,seasidejuvenile666,https://github.com/WTFAcademy/WTF-Ethers/pull/26,2022-10-07T15:37:56Z
Issues#24 Lecture 11 Review,buttonwild,https://github.com/WTFAcademy/WTF-Ethers/pull/25,2022-10-05T12:59:11Z
Issues#16 Lecture 10 Review,buttonwild,https://github.com/WTFAcademy/WTF-Ethers/pull/23,2022-10-05T08:46:01Z
Fixed: a variable name in the watcher,web3jt,https://github.com/WTFAcademy/WTF-Ethers/pull/20,2022-09-25T07:57:48Z
replace rinkeby with goerli,shao-shuai,https://github.com/WTFAcademy/WTF-Ethers/pull/19,2022-09-22T03:44:19Z
createRandom()不需要使用new关键词,beyond009,https://github.com/WTFAcademy/WTF-Ethers/pull/16,2022-09-19T13:53:27Z
Update readme.md,beyond009,https://github.com/WTFAcademy/WTF-Ethers/pull/15,未合并
Fix typo in 01_HelloVitalik,yuler,https://github.com/WTFAcademy/WTF-Ethers/pull/14,2022-09-14T04:35:13Z
修复注释有误,samaritanz,https://github.com/WTFAcademy/WTF-Ethers/pull/13,2022-09-12T05:25:57Z
Update readme.md,0x3c,https://github.com/WTFAcademy/WTF-Ethers/pull/12,2022-09-11T12:24:53Z
Update readme.md,thurendous,https://github.com/WTFAcademy/WTF-Ethers/pull/11,2022-09-10T07:03:28Z
Review and Improve Lesson 01/02,beihaili,https://github.com/WTFAcademy/WTF-Ethers/pull/10,2022-09-04T12:23:43Z
about lesson 03/04,zhiyuan2007,https://github.com/WTFAcademy/WTF-Ethers/pull/9,2022-08-27T15:43:15Z
拆分08章节为2个章节 并统一使用import,EasyChris,https://github.com/WTFAcademy/WTF-Ethers/pull/8,2022-08-26T06:04:19Z
polish,shunjizhan,https://github.com/WTFAcademy/WTF-Ethers/pull/7,2022-08-27T12:20:57Z
修改package.json,cheng521521,https://github.com/WTFAcademy/WTF-Ethers/pull/6,未合并
完善了第5讲,seasidejuvenile666,https://github.com/WTFAcademy/WTF-Ethers/pull/5,2022-08-23T12:10:43Z
08_ContractListener,EasyChris,https://github.com/WTFAcademy/WTF-Ethers/pull/4,2022-08-22T02:27:16Z
Update readme.md,riskers,https://github.com/WTFAcademy/WTF-Ethers/pull/3,2022-08-18T01:24:13Z
Update readme.md,Ifdevil,https://github.com/WTFAcademy/WTF-Ethers/pull/2,2022-08-05T10:34:12Z
update 01_HelloVitalik/readme.md,cheng521521,https://github.com/WTFAcademy/WTF-Ethers/pull/1,2022-08-01T08:40:59Z
